S28000330,235,212,152,182,151,212,125,158,795,851
S28000331,152,165,95,117,120,135,69,106,500,624
S28000332,57,46,106,122,115,151,103,139,498,599
S28000333,175,159,177,189,165,178,107,130,712,750
S28000334,135,126,160,189,159,193,109,148,689,774
S28000335,157,126,129,167,145,145,77,117,565,673
S28000336,2,3,9,8,13,8,7,9,31,34
S28000337,5,8,3,3,10,7,1,3,17,25
S28000338,4,5,24,12,19,20,15,15,67,59
S28000339,84,87,90,108,86,111,73,77,401,443
S28000340,38,39,76,66,49,72,35,57,232,253
S28000341,127,114,143,186,148,204,96,196,670,884
S28000342,155,143,193,202,182,231,148,203,878,1016
S28000343,52,43,49,49,37,42,25,25,186,194
S28000344,80,70,143,141,121,139,70,131,487,595
S28000345,176,169,154,179,126,169,94,160,686,838
S28000346,181,172,165,185,179,293,130,266,881,1061
S28000347,210,180,216,253,219,337,174,309,1109,1344
S28000348,161,145,143,158,157,220,116,165,709,840
S28000349,186,170,109,102,89,148,69,102,565,555
S28000350,273,221,194,189,158,194,133,201,896,1007
S28000351,184,133,120,122,102,156,113,184,651,755
S28000352,179,168,90,104,63,102,26,73,433,496
S28000353,166,144,68,87,55,78,21,55,351,384
S28000354,5,3,7,6,4,8,3,3,24,18
S28000355,9,8,29,13,24,10,10,10,70,66
S28000356,135,151,144,144,137,173,72,137,578,689
S28000357,59,47,87,102,98,107,64,83,367,426
S28000358,109,88,63,73,77,92,55,74,340,389
S28000359,110,107,95,95,100,155,87,124,503,527
S28000360,82,77,80,74,62,74,61,92,347,448
S28000361,123,126,100,119,109,129,76,86,475,508
S28000362,142,130,96,129,106,123,77,87,485,543
S28000363,290,259,197,235,216,352,191,270,1126,1225
S28000364,184,190,126,154,144,212,96,161,660,741
S28000365,108,116,116,105,90,118,59,81,426,455
S28000366,147,159,180,202,189,276,142,232,836,960
S28000367,177,164,146,183,151,223,92,147,688,757
S28000368,198,195,145,180,126,201,84,133,687,718
S28000369,72,46,59,48,66,55,36,59,246,255
S28000370,34,26,24,22,22,18,8,22,91,106
S28000371,61,65,68,72,61,83,49,73,289,320
S28000372,82,65,72,66,62,107,46,83,334,326
S28000373,59,77,90,105,91,118,61,117,359,525
S28000374,113,102,89,92,91,139,55,97,433,472
S28000375,143,94,95,97,109,119,47,118,446,494
S28000376,63,60,32,36,34,31,17,45,158,211
S28000377,174,155,157,204,172,263,123,185,807,901
S28000378,124,154,179,240,212,333,159,278,894,1128
S28000379,156,143,154,135,125,172,79,163,617,672
S28000380,194,185,183,188,166,187,133,203,771,888
S28000381,117,97,192,221,196,256,157,244,825,1022
S28000382,222,239,149,165,137,202,97,149,706,833
S28000383,122,102,144,165,179,243,124,253,720,938
S28000384,226,227,105,143,136,171,95,147,651,794
S28000385,233,222,92,107,89,135,43,88,531,560
S28000386,152,130,131,145,83,122,51,84,496,504
S28000387,138,138,119,129,105,125,71,100,497,541
S28000388,142,128,74,70,57,114,58,91,419,436
S28000389,127,142,60,87,58,74,39,60,322,385
S28000390,39,40,154,134,139,164,99,165,499,639
S28000391,39,41,44,42,60,69,27,35,194,221
